,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-12 21:00:36.184367,"Meet Bernie! He's a 6 year old snugglebug who's been cared for by our friends at @southamptonanimalshelteradopt for the past year, waiting for his perfect #furever home. Please join us in supporting animal shelters wherever you live, and celebrate the upcoming #YearoftheDog 🐶",False,144,2018-02-03T16:18:58.000Z,sequinjewelry,https://www.instagram.com/p/BevbE1OBDgI/?tagged=adoptlove,0
1,2018-02-12 21:00:36.184367,#SequinCares #adoptdontshop #shelterdogs #shelterdogsrule #adoptlove #snugglebug #shelterdogsarethebest #AdoptADog #lovemydog #woof #dogs #dogsofinsta #dailyfluff #instadog #cuteoverload #cuteness #dogstagram #puppylove #SequinJewelry #SequinAnimals,False,144,2018-02-03T16:18:58.000Z,sequinjewelry,https://www.instagram.com/p/BevbE1OBDgI/?tagged=adoptlove,0
2,2018-02-12 21:00:36.184367,Acceptable,False,144,2018-02-03T16:18:58.000Z,sequinjewelry,https://www.instagram.com/p/BevbE1OBDgI/?tagged=adoptlove,0
3,2018-02-12 21:00:36.184367,❤️🐶❤️🐶,False,144,2018-02-03T16:18:58.000Z,sequinjewelry,https://www.instagram.com/p/BevbE1OBDgI/?tagged=adoptlove,0
0,2018-02-12 21:00:42.093957,"I 💙 watching Nana cook! #sharingiscaring 😉💕
.
.
.
.
#yum #food #ilovefood #treats #nana #ilovemynana #family #iamamuppet #Benny #dogsofinstagram #obx #obxdog #dogsofobx #dogstagram #aussiegram #bordercollie #fluffydog #floof #floofy #rescuedog #rescuedogsofinstagram #adoptdontshop #adoptlove #bestfriend #Muppet #muppetdog",False,25,2018-02-03T15:58:45.000Z,little_benny_d,https://www.instagram.com/p/BevYwz1AYaa/?tagged=adoptlove,0
1,2018-02-12 21:00:42.093957,Very focused! 😘,False,25,2018-02-03T15:58:45.000Z,little_benny_d,https://www.instagram.com/p/BevYwz1AYaa/?tagged=adoptlove,0
2,2018-02-12 21:00:42.093957,@matcha_bigpawsome Food is an important thing to focus on 😉,False,25,2018-02-03T15:58:45.000Z,little_benny_d,https://www.instagram.com/p/BevYwz1AYaa/?tagged=adoptlove,0
0,2018-02-12 21:00:52.878916,Peek-a-boo! #catsareweird #catsarefunny #catsofinstagram #adoptlove #adoptdontshop,False,5,2018-02-03T15:50:00.000Z,personaleffectsandotherthings,https://www.instagram.com/p/BevXwt0A_Ri/?tagged=adoptlove,0
0,2018-02-12 21:00:58.790367,"This is my friend Vinny. He's at @obx_spca where I came from. He needs a family really a lot. I'm lucky, I have my own #family. I hope Vinny gets one soon. Please share him and remember him and send him love!
#adoptdontshop #fosterpets #sharethelove

@Regranned from @obx_spca - It's almost SUPER BOWL day! You wouldn't want to miss it, right? This is the third year in a row that Vinny hasn't been invited to a Super Bowl party. Three straight Super Bowls! He just eats some snacks in his kennel and hopes he can catch a game on TV one day. Sure, he wants to the only dog there. But he'll hang with the bros no problem! He won't talk during the game or be annoying or cheer for the wrong team. He just wants to have a Super Bowl party with you. Will anyone invite him this year?! Come get him this afternoon!

You can even just pick him for a Super Bowl party and bring him back Monday. He even pulls off wearing a jersey!
.
.
.
.
.
.
#Vinny #Superbowl #football #doginajersey #superbowlparty #foster #fosterssavelives #bigheadbigheart #dogsofinstragram #dogstagram #instadog #instadopt #startastoryadopt #obx #outerbanks #obxspca #adoptlove #pitstagram #pitbull #bluepit #adoptme #bestfriend - #regrann #startastoryadopt",False,23,2018-02-03T15:46:49.000Z,little_benny_d,https://www.instagram.com/p/BevXZVDANxV/?tagged=adoptlove,0
1,2018-02-12 21:00:58.790367,Thanks for sharing!! ❤,False,23,2018-02-03T15:46:49.000Z,little_benny_d,https://www.instagram.com/p/BevXZVDANxV/?tagged=adoptlove,0
