,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-12 21:19:46.042199,"Rather than robes or towels, we have his-and-her frizz.
Also, coffee mugs. 🦄
_____________
#fitzthedoodle #pupsncoffee #butfirstcoffee #morecoffeelesstalkie #yorkiepoo #yorkie #poodlemix #poodlesofinstagram #doodlesofinstagram #adoptlove #adoptdontshop #alwaysadopt #rescuelove #savealife #savethemall #nokillrevolution #dontbreedorbuy #whosavedwho #whywerescue #dogslife #petsofinstagram #fitzhughfang #dogsofmsp #sidewalkdog #instafluff #notadoodlethedoodle",False,61,2018-01-31T22:38:32.000Z,fitzhughandfriends,https://www.instagram.com/p/BeoYISKDbga/?tagged=adoptlove,0
1,2018-02-12 21:19:46.042199,I 💕 this!!!,False,61,2018-01-31T22:38:32.000Z,fitzhughandfriends,https://www.instagram.com/p/BeoYISKDbga/?tagged=adoptlove,0
2,2018-02-12 21:19:46.042199,:D,False,61,2018-01-31T22:38:32.000Z,fitzhughandfriends,https://www.instagram.com/p/BeoYISKDbga/?tagged=adoptlove,0
3,2018-02-12 21:19:46.042199,This is adorable 😍💞,False,61,2018-01-31T22:38:32.000Z,fitzhughandfriends,https://www.instagram.com/p/BeoYISKDbga/?tagged=adoptlove,0
0,2018-02-12 21:19:51.797255,"ADOPT our sweet OZIL! 💜 This beautiful boy is still available for adoption. He just loves our volunteers and is super affectionate once he gets to know you. He is talkative, likes to play with strings, enjoys gazing out the window, and loves his naps! If you would like to give OZIL a loving home to call his own please contact us to set up a meet and greet. He's been with us for quite some time and we would love to see him finally comfy and content in a loving forever home. Will it be yours? Help spread the word.

#catloverescue #CatLove #rescue #catrescue #rescuecat #cat #spayandneuter #adoptdontshop #adopt #adoptlove #catsofinstagram
Cat Love Rescue Location: #ChinoHills #California

Surrounding Cities: #Chino #Riverside #Claremont #Pomona #DiamondBar #westcovina #YorbaLinda #brea #eastvale #ranchocucamonga #irvine #newportbeach #costamesa #laverne #sandimas",False,108,2018-01-31T22:18:58.000Z,catloverescue,https://www.instagram.com/p/BeoV49_Dbf6/?tagged=adoptlove,0
0,2018-02-12 21:19:57.746536,"We love seeing photos and hearing stories like this! These two pups, Diego and Rosie, were able to benefit from the free spay/neuter services that @SNPLA is able to offer with the resources from our grants program. If you're in the Los Angeles area, check them out!
📷: @snpla",False,498,2018-01-31T22:04:08.000Z,petsmartcharities,https://www.instagram.com/p/BeoUMSoDZDj/?tagged=adoptlove,0
1,2018-02-12 21:19:57.746536,#adoptdontshop #dogsofinstagram #adoptlove #happytails #rescuesrock #dogsoftheday #adoptapet #rescuedog #weeklyfluff #spayneuter,False,498,2018-01-31T22:04:08.000Z,petsmartcharities,https://www.instagram.com/p/BeoUMSoDZDj/?tagged=adoptlove,0
2,2018-02-12 21:19:57.746536,That’s awesome!! Too cute ♥️,False,498,2018-01-31T22:04:08.000Z,petsmartcharities,https://www.instagram.com/p/BeoUMSoDZDj/?tagged=adoptlove,0
3,2018-02-12 21:19:57.746536,@miss.lucytherescue aren’t they adorable?!,False,498,2018-01-31T22:04:08.000Z,petsmartcharities,https://www.instagram.com/p/BeoUMSoDZDj/?tagged=adoptlove,0
4,2018-02-12 21:19:57.746536,@petsmartcharities ♥️♥️,False,498,2018-01-31T22:04:08.000Z,petsmartcharities,https://www.instagram.com/p/BeoUMSoDZDj/?tagged=adoptlove,0
