,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-12 20:48:13.765110,"Ain’t I lovely.....
.
#lovely #brighteyes
#prettyface
#cuteface . .
#rescuedogsofinstagram #rescuedog #straydog #sosstrays #mixedbreedsofinstagram #mixedbreed #mixedbreeddog #rescuepet #rescuepetsofinstagram
#newfamily #newfamilymember #loveatfirstsight
#adopted #adoptdontshop
#adoptlove #puppiesofinstagram #puppyeyes #puppyoftheday #topdogphoto #chihuahuasofinstagram #chihuahualife #chihuahuamix #chihuahuaworld #minipinmix #minipinstagram",False,27,2018-02-05T15:07:40.000Z,arpabonita,https://www.instagram.com/p/Be0cgXOFuhC/?tagged=adoptlove,0
1,2018-02-12 20:48:13.765110,😍💙scheelt heel veel tekst 😜),False,27,2018-02-05T15:07:40.000Z,arpabonita,https://www.instagram.com/p/Be0cgXOFuhC/?tagged=adoptlove,0
0,2018-02-12 20:48:19.585053,"Make a Furry Friend your Valentine this year! 💕
Even if you aren't ready for a new pet, you can spread love by donating to our long-term residents. Some of our pets have been Patiently Waiting for a loving forever family for a year or more! Others have special needs and require extra care. Meet some of the cutest Valentines around! You can learn more about these cuties on our website 🐾❤️ #adoptdontshop #adoptlove #valentinesday #valentine #myfurryvalentine #cat #dog #hamptons #catsofinstagram #dogsofinstagram #love

Make a homeless pet your valentine this year by donating: www.southamptonanimalshelter.com/dedication-donation",False,53,2018-02-05T15:24:23.000Z,southamptonanimalshelteradopt,https://www.instagram.com/p/Be0ea3aHb9o/?tagged=adoptlove,0
0,2018-02-12 20:48:25.369043,"As consumers, we tend to buy things we don't really need. That Starbucks drink, a new pair of shoes, a mani/pedi, or that second glass of wine

Giving up just one of those things a month can change the life of a homeless animal.

https://friendsofstrays.org

Sign up to give monthly by joining our FOS Rescue Crew. Doing this will help us continue our mission of saving the lives of homeless animals in Pinellas County and beyond. Your donation will go directly to the daily care and medical treatment of these animals! Who knew it was so easy to make a difference?! #adopt #rescue #adoptdontshop #adoptlocal #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #iadopted #savinglives #donate #savealife #adoptlove #nonprofit",False,54,2018-02-05T15:16:05.000Z,friendsofstrays,https://www.instagram.com/p/Be0deFcDAky/?tagged=adoptlove,0
0,2018-02-12 20:48:31.159605,"Where Are They Now? ""Bobby and Beans, now Peppers and Jane are doing great!! Jane is opening up more and more every day. Peppers is as playful as they come!"" Do you have a FOS Alumni? Facebook Message us with pictures or a story about their new life! We'd love to hear how they're doing!

#adopted #rescued #adoptdontshop #adoptlocal #fos #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #fl #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #FOSalumni #adoptedfromFOS #fromlosttolove #adoptspot #adoptlove #savinglives",False,53,2018-02-05T15:14:57.000Z,friendsofstrays,https://www.instagram.com/p/Be0dVtPD1P3/?tagged=adoptlove,0
0,2018-02-12 20:48:37.116839,#GamerGirl for life 🎮#MikaIsMyBaby,False,50,2018-02-05T15:12:45.000Z,mika.and.loki,https://www.instagram.com/p/Be0dFksgnq2/?tagged=adoptlove,0
1,2018-02-12 20:48:37.116839,#MikaandLoki #rescuedogsofinstagram #adoptdontshop #puppylove #adoptlove #dailypuppy #barkbox #dogs #dogsoftoronto #dogsofTO #dogoftheday #instadog #ilovemydog #dogsofIG #muttsarethebest #muttsofinstagram #rescuedismyfavoritebreed #dogofinstagram #dog #dailydog #dogstagram #bassetsofinstagram #rescuemutt #personal #adventuredogs #adventuredog,False,50,2018-02-05T15:12:45.000Z,mika.and.loki,https://www.instagram.com/p/Be0dFksgnq2/?tagged=adoptlove,0
0,2018-02-12 20:48:43.046346,The park is around here somewhere... now how to get dad to pull over🐾🚗,False,31,2018-02-05T14:25:33.000Z,shadow.derp,https://www.instagram.com/p/Be0Xr7XHewf/?tagged=adoptlove,0
1,2018-02-12 20:48:43.046346,#blacklab #shadow #labrador #bestwoof #blacklabradorretriever #igdogsworldwide #lab #instalab #labstagram #dogsofinstagram #instapuppy #instadogs #igdogs #rescuepup #labsofinstagram #adoptlove #rescuedogsofinstagram #rescuedog #puppygram #doglove #dogsandpals #sillydog #adoptdontshop #dogofinstaworld #dogoftheday #dogmodel #aplacetolovedogs #dogslife #dogs,False,31,2018-02-05T14:25:33.000Z,shadow.derp,https://www.instagram.com/p/Be0Xr7XHewf/?tagged=adoptlove,0
2,2018-02-12 20:48:43.046346,Hi cutie! Would you be interested in becoming a brand rep for our bandana company?,False,31,2018-02-05T14:25:33.000Z,shadow.derp,https://www.instagram.com/p/Be0Xr7XHewf/?tagged=adoptlove,0
