,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-13 07:04:59.241159,"""Are you going to pet me or what?"" - Ninja🐱

Adopt our sweet and affectionate Ninja and have a furry friend for life. Our volunteers love him! He's such a special cat with the most wonderful personality. Contact us for more info on how you can set up a meet and greet prior to adopting Ninja.

#catloverescue #CatLove #rescue #catrescue #rescuecat #cat #spayandneuter #adoptdontshop #adopt #adoptlove #catsofinstagram
Cat Love Rescue Location: #ChinoHills #California

Surrounding Cities: #Chino #Riverside #Claremont #Pomona #DiamondBar #westcovina #YorbaLinda #brea #eastvale #ranchocucamonga #irvine #newportbeach #costamesa #laverne #sandimas",False,101,2018-01-30T20:56:51.000Z,catloverescue,https://www.instagram.com/p/Belnssijlcx/?tagged=adoptlove,0
1,2018-02-13 07:04:59.241159,😹😹😻🐾,False,101,2018-01-30T20:56:51.000Z,catloverescue,https://www.instagram.com/p/Belnssijlcx/?tagged=adoptlove,0
2,2018-02-13 07:04:59.241159,@scraggy.and.scampy.pants 🐱😊,False,101,2018-01-30T20:56:51.000Z,catloverescue,https://www.instagram.com/p/Belnssijlcx/?tagged=adoptlove,0
3,2018-02-13 07:04:59.241159,j'adore,False,101,2018-01-30T20:56:51.000Z,catloverescue,https://www.instagram.com/p/Belnssijlcx/?tagged=adoptlove,0
0,2018-02-13 07:05:08.141727,"****Update - Lucky was euthanized. RIP angel *** Lucky 💕 #A0539438 that’s an oooold Animal ID# from back in 2002. She’s 16 now and in need of some TLC. At the @eastvalleyshelter in the medical department getting special feedings, but unseen by public. Please consider opening your home to a sweet, calm senior dog. #adoptlove",False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
1,2018-02-13 07:05:08.141727,@roboticmarble @tuff_sausage 16! 😞,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
2,2018-02-13 07:05:08.141727,@apurposefulrescue,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
3,2018-02-13 07:05:08.141727,Omg 😮.,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
4,2018-02-13 07:05:08.141727,She deserves so much better 😞 thank you for posting her.,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
5,2018-02-13 07:05:08.141727,May she find incredible love and peace in a new *forever* home <3.,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
6,2018-02-13 07:05:08.141727,Oh my....please someone go get this girl,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
7,2018-02-13 07:05:08.141727,Melts my heart ... 💙,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
8,2018-02-13 07:05:08.141727,"*
*
*
*
#rescuedismyfavoritebreed
#dogisgodspelledbackwards
#adoptdontshop #volunteer #donate #foster #shelterdog #notdefective #donteatanimals #ritaearlphotography #heartsspeak #dogsofla #losangelespetphotography
#losangelespetphotography
#adoptabledogsoflosangeles
#adoptonesavestwo
#supportyourlocalrescue #olddogsofinstagram #olddogsrule #seniordog #pitbull #pitbullsofinstagram",False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
9,2018-02-13 07:05:08.141727,Omg how heartbreaking :'( Is @frostedfaces able to help?,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
10,2018-02-13 07:05:08.141727,I can’t stand this. Nobody should end up like this. Shame shame shame xoxo,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
11,2018-02-13 07:05:08.141727,@ratsnoot 😩,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
12,2018-02-13 07:05:08.141727,She’s adorable! @wagsandwalks @leavenopawsbehind @susiesseniordogs - can you help? 🙏🏻🙏🏻🙏🏻😞,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
13,2018-02-13 07:05:08.141727,🙏🏻there must be someone for this lovely golden oldie💛💛,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
14,2018-02-13 07:05:08.141727,♡♡♡,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
15,2018-02-13 07:05:08.141727,She was in the shelter in 2002 and is now back there? 💔,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
16,2018-02-13 07:05:08.141727,@apurposefulrescue,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
17,2018-02-13 07:05:08.141727,😢,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
18,2018-02-13 07:05:08.141727,Oh man!!!!!!!!!!!!!!!!!,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
19,2018-02-13 07:05:08.141727,🙏💔,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
20,2018-02-13 07:05:08.141727,So sad seeing him in that kennel,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
21,2018-02-13 07:05:08.141727,So beautiful........who could say no to him. 💕❤️💕,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
22,2018-02-13 07:05:08.141727,@supagirl777 @rickmayhemm @itssummerparker @floydsuzanne @michelekaysummers @susanneschweitzer @bjanepaul @laadopt @beaumadisonrescuenetwork @chhiida,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
23,2018-02-13 07:05:08.141727,Do u know where she is now?,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
24,2018-02-13 07:05:08.141727,@debfeldbloom she was euthanized 😔,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
25,2018-02-13 07:05:08.141727,::((( oh Lucky may you run free and in peace ❤️,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
26,2018-02-13 07:05:08.141727,@rita_earl_blackwell i know. I called this morning. I am sick over it.,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
27,2018-02-13 07:05:08.141727,Why? Was she that sick?,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
28,2018-02-13 07:05:08.141727,So heartbreaking. Baby girl. Rest In Peace darlin.,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
29,2018-02-13 07:05:08.141727,Nooooo!,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
30,2018-02-13 07:05:08.141727,I am so sorry 😢 Rest easy sweet girl ❤,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
31,2018-02-13 07:05:08.141727,Oh my god 😭 @bubbas_crew,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
32,2018-02-13 07:05:08.141727,@tarasfostersaz 😔,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
33,2018-02-13 07:05:08.141727,✨💯👌🏾,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
34,2018-02-13 07:05:08.141727,😭😭😭,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
35,2018-02-13 07:05:08.141727,💔😢,False,377,2018-01-30T20:48:53.000Z,rita_earl_blackwell,https://www.instagram.com/p/BelmyWAhsBW/?tagged=adoptlove,0
0,2018-02-13 07:05:14.237566,"Freya is still learning about this great big world around her, patience, understand and time are the keys to winning this beautiful calicos heart. Oh and of course treats, always treats! Pick up this cutie and let the purring begin!
Freya would do best in a home without a lot of other pets as it is very overwhelming for her. We know she will be an amazing addition to any home and truly blossom with all the love she will be given.

You can find all of our adoptable animals, as well as our Adoption Center hours, on our website: FriendsofStrays.org

#adopt #rescue #adoptdontshop #adoptlocal #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #iadopted #savinglives #donate #savealife #adoptlove #nonprofit",False,90,2018-01-30T20:16:36.000Z,friendsofstrays,https://www.instagram.com/p/BeljF1uDCot/?tagged=adoptlove,0
0,2018-02-13 07:05:26.710312,"instead of a tongue appearance for #tongueouttuesday, the toofs made several appearances. #toofsouttuesday?
.
.
.
.
.
.
.
Follow #thelittletaquito if you don't want to miss any of my posts!
.
.
.
My whole etsy shop is 20% off right now! Check out the link in my bio for ""let's taco bout my cat"" clothing and hats.❤️❤️❤️
.
.
.
.
#tabby #🐱 #catsofinstagram #tabbycatsofinstagram #adoptlove #meowvswoof #balous_friends #magnificent_meowdels #happycatclub
#topcatphoto #themeowlife #kitty #bestcataward #catvideo #prettykitty #igmeows #thedailykitten #ellenratemycat #adoptdontshop #catsofday #letstacoboutmycat",True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
1,2018-02-13 07:05:26.710312,ahaha Soo cute love your toofs,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
2,2018-02-13 07:05:26.710312,awww you are such a cutie! 😍,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
3,2018-02-13 07:05:26.710312,What a cute video 😍💕,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
4,2018-02-13 07:05:26.710312,Those are some very cute toofers!,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
5,2018-02-13 07:05:26.710312,I just love this video. Humom and I had a good giggle.,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
6,2018-02-13 07:05:26.710312,You're being sooo cute! 😻💕,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
7,2018-02-13 07:05:26.710312,Those are some ferocious toothie pegs!,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
8,2018-02-13 07:05:26.710312,She is so cute!!!,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
9,2018-02-13 07:05:26.710312,OMG!! Is that a hand monster?! 😳 GET IT!!! 😈,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
10,2018-02-13 07:05:26.710312,"That should be the new hashtag, yes 💥",True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
11,2018-02-13 07:05:26.710312,The toofs are a much cuter option 😻😻,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
12,2018-02-13 07:05:26.710312,"Cutest toofs ever, cutie! ❤",True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
13,2018-02-13 07:05:26.710312,Such a cute video! Happy Tuesday 😸💛💛,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
14,2018-02-13 07:05:26.710312,She's like a little Kitty when she plays. Doing that half lay back with a fully exposed tum tum and lifting her rear leg! She's a Darling 💝😘💨💞,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
15,2018-02-13 07:05:26.710312,Happy #teethouttuesday cutie! 😆😻😻❤️❤️❤️😘,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
16,2018-02-13 07:05:26.710312,"Aw so cute, have fun",True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
17,2018-02-13 07:05:26.710312,Hahaha little baby cutie I love your tiny teefies,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
18,2018-02-13 07:05:26.710312,I love your pretty face!,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
19,2018-02-13 07:05:26.710312,Check out our #swarovski earrings ! Affordable yet stunning ! Great for valentine 🌹use code winter10 to get 10% off 😱,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
20,2018-02-13 07:05:26.710312,So cute,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
21,2018-02-13 07:05:26.710312,Omg 😻 how precious are you ❤️ happy toothy Tuesday 😽💕,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
22,2018-02-13 07:05:26.710312,You are too cute; such a sweet little fur face!! 😙😙😽,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
23,2018-02-13 07:05:26.710312,Purrfect 😹😹,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
24,2018-02-13 07:05:26.710312,cute😻,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
25,2018-02-13 07:05:26.710312,You are such a sweet lil baby with the cutest toofs! ❤️❤️❤️,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
26,2018-02-13 07:05:26.710312,Omg you're so cute! 😹😹💕,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
27,2018-02-13 07:05:26.710312,Love this little teefs! ❤️❤️,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
28,2018-02-13 07:05:26.710312,Aww you are so adorable 😻😻💖💖,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
29,2018-02-13 07:05:26.710312,Hehehehe you are so adorable 😻❤️,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
30,2018-02-13 07:05:26.710312,Lovely 👵🏻❤️😻,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
31,2018-02-13 07:05:26.710312,I love it when my tabbies get so excited with the sheets too! 😁❤️,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
32,2018-02-13 07:05:26.710312,@thelittletaquito Toof out Tuesday! 😹,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
33,2018-02-13 07:05:26.710312,Haha! Oh I love it! Happy Toofer Tuesday! 😛😹😹,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
34,2018-02-13 07:05:26.710312,Hahaha this is so sweet ♥️♥️,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
35,2018-02-13 07:05:26.710312,Such a cutie 💗💗💗😘,True,"1,635",2018-01-30T19:49:52.000Z,thelittletaquito,https://www.instagram.com/p/Belf_I8BlrB/?tagged=adoptlove,"2,730"
