,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-12 19:57:27.089215,"Our Lily looks so sweet when sleeping but as soon as I try to get a pic her one eyeball is wide open.
.
.
#lovethisgirl",False,31,2018-02-09T04:31:03.000Z,pibblesandpups,https://www.instagram.com/p/Be9m1NoDRZH/?tagged=adoptlove,0
1,2018-02-12 19:57:27.089215,#rescue #foster #adopt #inspirecompassion #sandiego #rescueismyfavoritebreed #adoptdontshop #rescuepetsofinstagram #rescuepetsofig #fosterdog #adoptlove #packlife #bekindtoanimals #mustlovedogs #bullylife #dogsofinstagram #dogsarefamily #doglover #sdhumane #happydog #ilovedogs #frenchie #mansbestfriend #frenchbulldog #frenchielove #attitude #squishyface #bullylove,False,31,2018-02-09T04:31:03.000Z,pibblesandpups,https://www.instagram.com/p/Be9m1NoDRZH/?tagged=adoptlove,0
2,2018-02-12 19:57:27.089215,Nice pic,False,31,2018-02-09T04:31:03.000Z,pibblesandpups,https://www.instagram.com/p/Be9m1NoDRZH/?tagged=adoptlove,0
3,2018-02-12 19:57:27.089215,@the_tiffani_boi thank you!,False,31,2018-02-09T04:31:03.000Z,pibblesandpups,https://www.instagram.com/p/Be9m1NoDRZH/?tagged=adoptlove,0
0,2018-02-12 19:57:33.300449,#throwback to last Sunday when we watched the Puppy Bowl! It looked so fun I wanted to play too! #throwbackthursday #tbt #playtime #puppybowl,True,61,2018-02-09T04:25:43.000Z,gusandwheatie,https://www.instagram.com/p/Be9l9c1gyS_/?tagged=adoptlove,53
1,2018-02-12 19:57:33.300449,#instacat_meows #petsofinstagram #kitty #thedailykitten #catlovers #meow #happycatclub #cats #catsagram #catstagram #kitty #petstagram #petsagram #catsofinstagram #ilovemycat #instagramcats #catoftheday #lovecats #adorable #catlover #instacat #igmeows #rescuesofinstagram #adoptlove #yegpaws #yegcat #cutepetclub,True,61,2018-02-09T04:25:43.000Z,gusandwheatie,https://www.instagram.com/p/Be9l9c1gyS_/?tagged=adoptlove,53
2,2018-02-12 19:57:33.300449,Did you watch the kitten bowl too? It was pawtastic! We rooted for the Pouncy Panthers and they won!!,True,61,2018-02-09T04:25:43.000Z,gusandwheatie,https://www.instagram.com/p/Be9l9c1gyS_/?tagged=adoptlove,53
3,2018-02-12 19:57:33.300449,"@peasantpicnic No, sadly we missed the kitten bowl! 😿😿 We'll have to make sure we see it next year!",True,61,2018-02-09T04:25:43.000Z,gusandwheatie,https://www.instagram.com/p/Be9l9c1gyS_/?tagged=adoptlove,53
4,2018-02-12 19:57:33.300449,lol that’s hilarious,True,61,2018-02-09T04:25:43.000Z,gusandwheatie,https://www.instagram.com/p/Be9l9c1gyS_/?tagged=adoptlove,53
5,2018-02-12 19:57:33.300449,So glad you enjoyed the puppy bowl. We missed it too!😢,True,61,2018-02-09T04:25:43.000Z,gusandwheatie,https://www.instagram.com/p/Be9l9c1gyS_/?tagged=adoptlove,53
