,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-12 19:27:53.597779,"Humane Society: Sausage [18-0128] (02/08/2018)
DSH | Small | 6 Months old | Female | Brown Tabby with White | GWK | GWD | GWC | HB
.
#humanesociety #rescuecat #sheltercat #rescuecats #rescuecatsofinstagram #topcatphoto #bestmeow #meowbox #catsgram #1worldofpets #adoptme #adoptlove #catphotographer #dailymeow #petphotography #AnimalAddicts #animalphotography #instagramcats #catsofinstagram #startastoryadopt #shelterpetpics #catsofshelters #heartsspeak #adoptme #shelterphotoguy",False,33,2018-02-10T19:11:45.000Z,tchrismartin,https://www.instagram.com/p/BfBwaiEHdJr/?tagged=adoptlove,0
1,2018-02-12 19:27:53.597779,"Hi, checking in with one more question! Are all the pets you share from the Lewis and Clark Humane Society, or are they from different shelters?",False,33,2018-02-10T19:11:45.000Z,tchrismartin,https://www.instagram.com/p/BfBwaiEHdJr/?tagged=adoptlove,0
2,2018-02-12 19:27:53.597779,@shelterpetproject Hi! At this time I have only had the opportunity to work with Lewis & Clark. I am an artist member of HeARTsSpeak and HSUS so hopeful for more opportunities.,False,33,2018-02-10T19:11:45.000Z,tchrismartin,https://www.instagram.com/p/BfBwaiEHdJr/?tagged=adoptlove,0
0,2018-02-12 19:27:59.338986,"Zorro aka Penny Lane has joined her new family today.
Darrin & Danielle are so excited to take her home to meet sister Anna who is a previous S.O.L kitten.

www.savingonelife.org #2018adopted #2018 #ADOPTED #savingonelife #adoptdontshop #adopt #AdoptLove  #availablenow #dontmissout #dontmissoutonlove #furreverlove #adorable #kittenlove #adoptme #pickme #purrfect #Adoptnow #fosteringsaveslives #kittenssaved  #kittensofinstagram #catsofinstagram #rescueneverends #savealife #imcute #rescuekittensrule  #azrescuekittens",False,77,2018-02-10T19:09:25.000Z,savingonelife,https://www.instagram.com/p/BfBwJatnmmu/?tagged=adoptlove,0
0,2018-02-12 19:28:05.244641,Braving the snow and cold with my wolf #northerndog,False,46,2018-02-10T18:04:14.000Z,mika.and.loki,https://www.instagram.com/p/BfBor8eA1gR/?tagged=adoptlove,0
1,2018-02-12 19:28:05.244641,#MikaandLoki #rescuedogsofinstagram #adoptdontshop #puppylove #adoptlove #dailypuppy #barkbox #dogs #dogsoftoronto #dogsofTO #dogoftheday #instadog #ilovemydog #dogsofIG #muttsarethebest #muttsofinstagram #rescuedismyfavoritebreed #shepsky #dogofinstagram #dog #dailydog #dogstagram #rescuemutt #personal #adventuredogs #adventuredog,False,46,2018-02-10T18:04:14.000Z,mika.and.loki,https://www.instagram.com/p/BfBor8eA1gR/?tagged=adoptlove,0
2,2018-02-12 19:28:05.244641,🆒🆒...,False,46,2018-02-10T18:04:14.000Z,mika.and.loki,https://www.instagram.com/p/BfBor8eA1gR/?tagged=adoptlove,0
0,2018-02-12 19:28:11.296330,"#Repost @petplaysf with @get_repost
・・・
Sharing is caring, but sometimes a pup can't help but keep their tasty toys all to themselves. Don't furget your pup this Valentine's Day!
#tilleydoestricks #milkshakeheaven #milkshaketime #cutedogtoys #rescuedogsarethebest #adoptlove #tinydog #smallbutmighty #onwednesdayswewearpink #plushdogtoy #americanclassictoys",False,23,2018-02-10T17:57:58.000Z,doggy_be,https://www.instagram.com/p/BfBn-B9hv5N/?tagged=adoptlove,0
0,2018-02-12 19:28:17.654465,"I hate wasting, especially this kind of love 🐶💓 #adoptlove #neverendinglove ‼️🐾",False,57,2018-02-10T17:15:14.000Z,klaudiasamborska,https://www.instagram.com/p/BfBjFFrh3ik/?tagged=adoptlove,0
1,2018-02-12 19:28:17.654465,Najlepsi modele 😂❤️❤️,False,57,2018-02-10T17:15:14.000Z,klaudiasamborska,https://www.instagram.com/p/BfBjFFrh3ik/?tagged=adoptlove,0
0,2018-02-12 19:28:23.587712,"🌤Grant🌤 What I can tell you about this guy is he’s smart and easily trainable. His once not so easy kennel pull... easy peasy now👍🏼 He’s a fun, energetic little chunk, that loves butt scratches😍 #adoptme #adopt #grant #shelterdog #rescue #foster #whitedog #cute #littlechunk",False,88,2018-02-10T17:12:53.000Z,luvmypittys,https://www.instagram.com/p/BfBiz1Fh3ew/?tagged=adoptlove,0
1,2018-02-12 19:28:23.587712,#adoptdontshop #adopt #adoption #adoptadog #adoptable #adoptdontbuy #adoptionrocks #adoptapet #adopteddog #adoptionislove #adoptables #adoptnotshop #adoptlove #adoptionday #adoptasenior #adoptabledog #adoptdogs #adopteddogs #adoptashelterpet #adoptarescue #adoptapit,False,88,2018-02-10T17:12:53.000Z,luvmypittys,https://www.instagram.com/p/BfBiz1Fh3ew/?tagged=adoptlove,0
2,2018-02-12 19:28:23.587712,Adorable,False,88,2018-02-10T17:12:53.000Z,luvmypittys,https://www.instagram.com/p/BfBiz1Fh3ew/?tagged=adoptlove,0
3,2018-02-12 19:28:23.587712,Sweet,False,88,2018-02-10T17:12:53.000Z,luvmypittys,https://www.instagram.com/p/BfBiz1Fh3ew/?tagged=adoptlove,0
4,2018-02-12 19:28:23.587712,Super cute!,False,88,2018-02-10T17:12:53.000Z,luvmypittys,https://www.instagram.com/p/BfBiz1Fh3ew/?tagged=adoptlove,0
0,2018-02-12 19:28:29.324290,"Meet Scrappy, my mom met him at the Flea Market. He’s a very sweet pitty mix ready for adoption at ACC -Manhattan! #adoptlove #animalcarecenter",False,36,2018-02-10T17:00:03.000Z,frenchienono,https://www.instagram.com/p/BfBhV6qh3Ac/?tagged=adoptlove,0
1,2018-02-12 19:28:29.324290,http://nycacc.org/adopt/adoption-search,False,36,2018-02-10T17:00:03.000Z,frenchienono,https://www.instagram.com/p/BfBhV6qh3Ac/?tagged=adoptlove,0
2,2018-02-12 19:28:29.324290,@frenchienono #adoptme #bigdogs #sweetheart #handsome #dog #newyorkcity,False,36,2018-02-10T17:00:03.000Z,frenchienono,https://www.instagram.com/p/BfBhV6qh3Ac/?tagged=adoptlove,0
3,2018-02-12 19:28:29.324290,He certainly has a sweet face!,False,36,2018-02-10T17:00:03.000Z,frenchienono,https://www.instagram.com/p/BfBhV6qh3Ac/?tagged=adoptlove,0
4,2018-02-12 19:28:29.324290,Such a cutie,False,36,2018-02-10T17:00:03.000Z,frenchienono,https://www.instagram.com/p/BfBhV6qh3Ac/?tagged=adoptlove,0
0,2018-02-12 19:28:35.026514,"She’s perfect. Welcome home, lil lady. #adoptdontshop #adoptlove",False,12,2018-02-10T16:46:23.000Z,shoalyouright,https://www.instagram.com/p/BfBfxwxArRD/?tagged=adoptlove,0
1,2018-02-12 19:28:35.026514,Beautiful!,False,12,2018-02-10T16:46:23.000Z,shoalyouright,https://www.instagram.com/p/BfBfxwxArRD/?tagged=adoptlove,0
0,2018-02-12 19:28:40.735598,"Mom said we are going to paws in the park today. And we may be able to meet Pluto and Mickey! •
•
•
•
#dogsofinstagram #dog #disney #minniemouse #mickeymouse #orlando #pawsinthepark #lakeeolapark #flattiesofinstagram #flatcoatedretriever #flatcoatedretrieversofinstagram #rescuedogsofinstagram #adoptlove",False,17,2018-02-10T16:33:29.000Z,maddie_the_flattie,https://www.instagram.com/p/BfBeTW0BqWa/?tagged=adoptlove,0
